epoch,loss,miou,macc,fwiou,lr,model
1,2.68310143999271,0.08493234509626887,0.12549049296863188,0.40841397038761484,0.0004992370400989493,simple
2,2.1415293989904893,0.09667206903045954,0.15736515165145798,0.40241747754024937,0.0004969528642972967,simple
3,2.0219456320945692,0.11367580851378856,0.16626963556550028,0.4536081736456525,0.000493161555298425,simple
4,1.9600774636578633,0.11845476174334986,0.16798106067539048,0.4676242527541983,0.00048788648778305053,simple
5,1.9257324707028298,0.12009608676021308,0.16862622803113952,0.47770333533535253,0.0004811601842965435,simple
6,1.8960513777038999,0.12449040194850816,0.17356533285824868,0.48563494317546535,0.00047302411473662103,simple
7,1.8759208758918124,0.12794486655057752,0.17758960984207234,0.4929505902866462,0.0004635284406776378,simple
8,1.8563934821093415,0.12834168656127523,0.18323361692445184,0.49145790493037655,0.0004527317061077995,simple
9,1.8384051470564615,0.13141210613999313,0.1870473126578485,0.49645626931773246,0.0004407004764860077,simple
10,1.8273927993818702,0.13127330536426982,0.18738204567511108,0.49536060814644783,0.0004275089283436705,simple
11,1.8139745000715226,0.13172204832300682,0.18756569437838266,0.496523909368386,0.0004132383919617205,simple
12,1.8028136680000706,0.1331954970587832,0.1830796166248411,0.5076698286757824,0.00039797684994238706,simple
13,1.7912560330455887,0.1348856427292013,0.18887089762185705,0.5086244341218393,0.00038181839476719725,simple
14,1.7804998705630701,0.13982447649415541,0.19174951601761236,0.5180738730295243,0.00036486264868553777,simple
15,1.7756541087162383,0.13516453147839935,0.19660176122728187,0.4985864423562556,0.0003472141495103597,simple
16,1.769164294650311,0.14191064980578066,0.19747107298218775,0.5187600087699495,0.00032898170610779946,simple
17,1.759891610488803,0.14148391328681276,0.1963212916021515,0.5181798893785026,0.00031027772755433657,simple
18,1.7535944488764548,0.1392335519819655,0.19078507731735922,0.5201492053574548,0.0002912175300974571,simple
19,1.7485602123449462,0.14068354670027677,0.19321035400924746,0.5227392547853283,0.0002719186261926416,simple
20,1.7436603944368039,0.1413524064158403,0.19077340611657423,0.5244199906956484,0.00025249999999999996,simple
21,1.739110980240553,0.14216071082486814,0.19548207431808917,0.5220185136575823,0.00023308137380735836,simple
22,1.7338539404396671,0.14364386838820087,0.19759795678780817,0.526470081397715,0.00021378246990254288,simple
23,1.731866213836168,0.14611785557206386,0.2005462791717965,0.5301046191731679,0.0001947222724456634,simple
24,1.726563762585076,0.14701487405373082,0.20021592735997487,0.5323563876050267,0.0001760182938922005,simple
25,1.7234554953250354,0.14845106183986612,0.2009453016395309,0.535144288731444,0.00015778585048964024,simple
26,1.7224016038256902,0.1470064693066917,0.2016141060275362,0.5311249018635076,0.00014013735131446212,simple
27,1.7185505944139816,0.14741442668757326,0.19928585593698556,0.5345059535273827,0.0001231816052328026,simple
28,1.7160495060147147,0.14881350709998897,0.20484140804128237,0.5334136012959293,0.00010702315005761287,simple
29,1.7137442063251884,0.14914896475811418,0.203196767695031,0.5358843424440562,9.176160803827953e-05,simple
30,1.7125580050627882,0.14774181840137557,0.2004571703681947,0.5348673913453162,7.749107165632946e-05,simple
31,1.710670868032857,0.148778337842193,0.2039665588199931,0.5340761945736784,6.429952351399232e-05,simple
32,1.7095647014146989,0.14902430300706573,0.20415472157329612,0.5350957028882595,5.226829389220051e-05,simple
33,1.7095798696895872,0.14910068733465626,0.20356604887005053,0.5358946540686005,4.1471559322362165e-05,simple
34,1.7082436453816323,0.14916053276832775,0.20434463713654655,0.53547766051229,3.197588526337896e-05,simple
35,1.707284149924299,0.1493864829060639,0.2041520448778147,0.5359331617006922,2.3839815703456522e-05,simple
36,1.7068943076827578,0.1489965495856092,0.20281380744191446,0.5363242526278678,1.7113512216949496e-05,simple
37,1.7061761921219782,0.14908317126173964,0.2031096965539201,0.5364088597651819,1.1838444701575051e-05,simple
38,1.705753648059656,0.1492659280322695,0.2033669710710686,0.5366137390484537,8.04713570270343e-06,simple
39,1.705630594916388,0.14937471357371185,0.2035683167142916,0.5366879108440753,5.7629599010508294e-06,simple
40,1.7054054929006948,0.14934834595753618,0.2034560861953667,0.5367297361989776,5e-06,simple
