epoch,loss,miou,macc,fwiou,lr,model
1,2.895461417019552,0.0607496914487142,0.10298694090752811,0.3484574747612115,0.0004992370400989493,baseline
2,2.2476482225276366,0.09369049267206978,0.15037973270807628,0.4031929265062397,0.0004969528642972967,baseline
3,2.0932000401219346,0.10814615742684802,0.1608124452934187,0.44048680251186095,0.000493161555298425,baseline
4,2.0229758780807163,0.11377417405583601,0.16134862901743552,0.45949437493187617,0.00048788648778305053,baseline
5,1.9754205072996418,0.1163118161406951,0.16899387775456942,0.4587239747347383,0.0004811601842965435,baseline
6,1.9433392040869768,0.11930065333825045,0.17313717294558134,0.46495671612770334,0.00047302411473662103,baseline
7,1.9196609452412963,0.12101829370306427,0.17587478586573885,0.47015565258646236,0.0004635284406776378,baseline
8,1.8992185325076336,0.12433615146944184,0.17674171746454753,0.4792686924851186,0.0004527317061077995,baseline
9,1.88373039141528,0.1260713785842037,0.17864490655684792,0.4840480581960144,0.0004407004764860077,baseline
10,1.870190636107796,0.1281563768977544,0.18234913570610606,0.4872559368116844,0.0004275089283436705,baseline
11,1.8574150813622372,0.1279263506348149,0.17911989720106236,0.4911932670531757,0.0004132383919617205,baseline
12,1.8469771246422924,0.1292798707129451,0.18442837564955444,0.4892841006213178,0.00039797684994238706,baseline
13,1.8374708728524554,0.12997050473569446,0.1828270463154088,0.4963104966301367,0.00038181839476719725,baseline
14,1.8301345021363014,0.13208746776921995,0.1886639180474532,0.493493787728943,0.00036486264868553777,baseline
15,1.8214308355614865,0.13329276101540777,0.18639908405551686,0.5004482860703021,0.0003472141495103597,baseline
16,1.8136694781920488,0.13275621936072934,0.18607365508936113,0.5016658793720825,0.00032898170610779946,baseline
17,1.8081421178560877,0.13316227185057883,0.1890507599078029,0.5008737254390165,0.00031027772755433657,baseline
18,1.8022258289089144,0.13394993071002181,0.1920268587881476,0.49985889331660777,0.0002912175300974571,baseline
19,1.79753076052149,0.13198529313663632,0.19155247425791613,0.4932162559758241,0.0002719186261926416,baseline
20,1.7939266462813221,0.13564507868646683,0.1892233038416677,0.5068866755975321,0.00025249999999999996,baseline
21,1.7885109138193513,0.1366151083145567,0.18964387742478347,0.510664989418932,0.00023308137380735836,baseline
22,1.7841236798017757,0.13670927337316402,0.18971036118609808,0.5106932903914139,0.00021378246990254288,baseline
23,1.7804139483454795,0.14151154269420207,0.1949615492834784,0.5169151254499385,0.0001947222724456634,baseline
24,1.778741051999408,0.1385675697673204,0.19236460761437782,0.5125079155182011,0.0001760182938922005,baseline
25,1.7752214926684236,0.13711688555030532,0.1892008951512407,0.5133651854845837,0.00015778585048964024,baseline
26,1.773267489007383,0.13860650456022777,0.1932889548171844,0.5118860277711261,0.00014013735131446212,baseline
27,1.770498585221199,0.1382810275192884,0.19234652294423968,0.5137412283302784,0.0001231816052328026,baseline
28,1.768772078464644,0.13894619795405921,0.19218214400952063,0.5156234615415368,0.00010702315005761287,baseline
29,1.76679619085678,0.13897152937093038,0.1940059698767822,0.5145856093725407,9.176160803827953e-05,baseline
30,1.765123171333927,0.14000890998138094,0.19426775566749158,0.5162235831496457,7.749107165632946e-05,baseline
31,1.7636681525699864,0.1391716332910441,0.19338919255750653,0.515329254337672,6.429952351399232e-05,baseline
32,1.7624689956936674,0.14004681270051839,0.19446951617059943,0.5165961299896438,5.226829389220051e-05,baseline
33,1.7617637533521504,0.1402313851678415,0.19453725269281696,0.5169521756626597,4.1471559322362165e-05,baseline
34,1.7607109576186897,0.1403913051383619,0.19488704465448653,0.5172861026736796,3.197588526337896e-05,baseline
35,1.760210967193078,0.14046648531281689,0.19480044540501018,0.5174725129632517,2.3839815703456522e-05,baseline
36,1.7596078133989044,0.14046421539065013,0.1946737284951817,0.5177236789679427,1.7113512216949496e-05,baseline
37,1.7593024908204566,0.14026862267150336,0.19411255770560926,0.5177173244888267,1.1838444701575051e-05,baseline
38,1.7590546408673926,0.14032551419542508,0.19426614725884278,0.5176299537458069,8.04713570270343e-06,baseline
39,1.7587754390557115,0.14030264971798873,0.19441039841030713,0.5174981381979741,5.7629599010508294e-06,baseline
40,1.7586767675337778,0.14036174825385633,0.19453300243789684,0.5175539323877916,5e-06,baseline
