epoch,loss,miou,macc,fwiou,lr,model
1,2.100684952163844,0.28990863283623247,0.34862184350553055,0.7368231802238951,0.0004992370400989493,improved
2,1.2238642733901648,0.36251333155191884,0.4450517150546819,0.7603896065127992,0.0004969528642972967,improved
3,1.017552715613746,0.38812478567444514,0.48024510940247567,0.7647971601933774,0.000493161555298425,improved
4,0.9168481066038734,0.38539657972089514,0.48851262553591207,0.7648070338666451,0.00048788648778305053,improved
5,0.8541572452883234,0.3918325825887895,0.48651852411568,0.7666507902964469,0.0004811601842965435,improved
6,0.8136649110092098,0.3966973788696586,0.49249522051654865,0.7733238007009574,0.00047302411473662103,improved
7,0.7816388374511671,0.43167189124713723,0.5248179800891922,0.7729689652707832,0.0004635284406776378,improved
8,0.7556372125266875,0.4322955929016752,0.5409455222784864,0.7752151258583823,0.0004527317061077995,improved
9,0.7348446392976093,0.4372442798906936,0.532077658130552,0.7701146993961301,0.0004407004764860077,improved
10,0.715955647383312,0.44455571759096835,0.5586488693428562,0.7761625293682772,0.0004275089283436705,improved
11,0.6959199729165056,0.4351304981843579,0.556366460318003,0.7685060725092401,0.0004132383919617205,improved
12,0.6818203791837574,0.44692484410117417,0.5560600267117792,0.7722962849805675,0.00039797684994238706,improved
13,0.6699128657025818,0.44790234685051034,0.5517294233069763,0.7771598488986613,0.00038181839476719725,improved
14,0.6568891064670432,0.44806696523439793,0.5583843564287553,0.7748335993994707,0.00036486264868553777,improved
15,0.6506742261142554,0.44288453144117157,0.5566950868249504,0.7738017699096953,0.0003472141495103597,improved
16,0.6382723930450416,0.45812508893302745,0.5526781130697435,0.7814707060034313,0.00032898170610779946,improved
17,0.6299642329983667,0.4553725043374325,0.546748449425666,0.7798914925574844,0.00031027772755433657,improved
18,0.6229931336622858,0.45224105278664045,0.5465930080867387,0.7735773961074264,0.0002912175300974571,improved
19,0.6186810899352879,0.4545754876036435,0.5557423255883664,0.7754696694184362,0.0002719186261926416,improved
20,0.6129419357968557,0.4525073398579311,0.554698031857793,0.77735208862466,0.00025249999999999996,improved
21,0.6059838943990761,0.45438362602337057,0.5523346905656412,0.7779914999374272,0.00023308137380735836,improved
22,0.6005940447466293,0.45478148600451723,0.5503927507144395,0.7783035502815309,0.00021378246990254288,improved
23,0.5956636467954323,0.454485273653287,0.5509369595922262,0.7799512435343257,0.0001947222724456634,improved
24,0.5899524920772842,0.454303297673441,0.5490280437686277,0.7821076124061993,0.0001760182938922005,improved
25,0.5848558231403953,0.4551408903195542,0.5546711123280823,0.7789328071580515,0.00015778585048964024,improved
26,0.5827543505297357,0.45438274197068335,0.5506838943049658,0.7809393387935877,0.00014013735131446212,improved
27,0.5791647030104056,0.4553614129941733,0.5469099067832033,0.777671528379589,0.0001231816052328026,improved
28,0.5760496156780344,0.455340106068051,0.5514023920226515,0.7803942922919557,0.00010702315005761287,improved
29,0.5730459364390594,0.4549897090527163,0.5517007331690806,0.7787256363625632,9.176160803827953e-05,improved
30,0.5706538877020311,0.4562741958798108,0.5530206287675461,0.7804265190489117,7.749107165632946e-05,improved
31,0.5684625127182656,0.45453817112349393,0.551248230907072,0.7794052868355263,6.429952351399232e-05,improved
32,0.5667870848356017,0.45514526979823644,0.5532719478925718,0.780742811301505,5.226829389220051e-05,improved
33,0.5656775256889892,0.4553204446342797,0.5505332296653139,0.7805023619407597,4.1471559322362165e-05,improved
34,0.5640147761571518,0.4557780358722396,0.5488654148850367,0.7794098276208545,3.197588526337896e-05,improved
35,0.5626156241532081,0.4560837362716366,0.5494988314880437,0.7799141409114815,2.3839815703456522e-05,improved
36,0.5618214257545885,0.45616125136835356,0.5507285158955161,0.7801892607643548,1.7113512216949496e-05,improved
37,0.5612060189154864,0.45585590679144394,0.5505924173797012,0.7799715929592451,1.1838444701575051e-05,improved
38,0.5604755552745087,0.45601041963061073,0.550544196843107,0.7802039376826346,8.04713570270343e-06,improved
39,0.560099316132327,0.45571367741524305,0.5505219732775503,0.7799388097757296,5.7629599010508294e-06,improved
40,0.5597002745689622,0.45598993421332346,0.550796132132275,0.7801665846322524,5e-06,improved
